,Unnamed: 0,original,pre_processed_text,time_parsed,sentiments,predictions
0,0,"Just eat balanced meals, track the amount of calories that you intake and move your lazy ass more. It's not rocket science because your body doesn't really care about all of these fancy trends.","just eat balanced meals, track the amount of calorie that you intake and move your lazy as more. it is not rocket science because your body doe not really care about all of these fancy trends.",1686212552.56979,Neutral,miscellaneous
1,1,"It's really important to understand that when you do intermittent fasting, you need to eat a bit differently than usual. If you eat a simple meal, like what you eat on a normal day when you eat 3-4 times a day, then of course you will feel a bit tired. When you do intermittent fasting your meals should be a slightly bigger and it's nice to have a break after 5 days. I usually do intermittent fasting on weeksdays (2 meals in an 6 hour window at max) and eat ""normally"" on the weekends (I eat what and when I want, yes...taco, pizza, icecream, everything I want, no restrictions on that 2 days).

Intermittend fasting was a game changer for me. My weight is absolutely rock solid when I follow this plan. I'm not getting weigh even with my home office lifestyle.","it is really important to understand that when you do intermittent fasting, you need to eat a bit differently than usual. if you eat a simple meal, like what you eat on a normal day when you eat 3 4 time a day, then of course you will feel a bit tired. when you do intermittent fasting your meal should be a slightly bigger and it is nice to have a break after 5 days. i usually do intermittent fasting on weekday (2 meal in an 6 hour window at max) and eat normally on the weekend (i eat what and when i want, yes.tico, pizza, icecream, everything i want, no restriction on that 2 days). intermittent fasting wa a game changer for me. my weight is absolutely rock solid when i follow this plan. i am not getting weigh even with my home office lifestyle.",1686149312.578076,Positive,miscellaneous
2,2,"Have been experimenting w/ IF for two months, and have lost 27 lbs. Have about 33 lbs to go. 

Currently, I exercise 5 days/wk (3 gym days, 2 very light walking days, and 2 days off during fasting. 

I fast once/wk from Wed night to Fri afternoon (42 hrs). I’m roughly losing 1.5 lbs/wk now, and building muscle in the process; so… I’m gaining muscle and losing fat, which is my goal. When i hit my target weight, i’ll likely have to change things up with the diet. 

The fasting naturally increases testosterone, growth hormone and reduces inflammation. 

I have a 42g recovery drink 5 days/wk after workouts, a keto lunch, then i “cheat” at dinner and eat more of what i want, tracking carbs to keep these low overall (50-75 g daily carbs).

Cut out sugars, keep carbs low, no processed food, no alcohol, no vegetable oil (just avocado and coconut oils), eat a higher fat / low carb diet, exercise and watch things improve!

IMO many folks are addicted to sugar, and will not admit this. I still have 9 g of sugar/day with my recovery drink 5 days/wk, yet have drawn the line with this amount of sugar. I just like how much protein i can get from the drink. 

Hope this helps someone!","have been experimenting w if for two months, and have lost 27 lbs. have about 33 lb to go. currently, i exercise 5 day wk (3 gym days, 2 very light walking days, and 2 day off during fasting. i fast once wk from wed night to fri afternoon (42 hrs). i m roughly losing 1.5 lb wk now, and building muscle in the process so i m gaining muscle and losing fat, which is my goal. when i hit my target weight, i ll likely have to change thing up with the diet. the fasting naturally increase testosterone, growth hormone and reduces inflammation. i have a 42g recovery drink 5 day wk after workout, a veto lunch, then i cheat at dinner and eat more of what i want, tracking car to keep these low overall (50 75 g daily cars). cut out sugars, keep car low, no processed food, no alcohol, no vegetable oil (just avocado and coconut oils), eat a higher fat low car diet, exercise and watch thing improve! i am going to many folk are addicted to sugar, and will not admit this. i still have 9 g of sugar day with my recovery drink 5 day wk, yet have drawn the line with this amount of sugar. i just like how much protein i can get from the drink. hope this help someone!",1686145712.580602,Positive,miscellaneous
3,3,Great video! Learned a lot more about IF than I thought I would,great video! learned a lot more about if than i thought i would,1686131312.58288,Positive,others
4,4,"Can you take a month where you do all the habits for 30 days? I have seen you do fasting, yoga, and all the other habits - one habit per month - but now that you know how to do them it would be fun to see how/if you could squeeze them all in. Ok maybe not all of them but most of them.","can you take a month where you do all the habit for 30 day i have seen you do fasting, yoga, and all the other habit one habit per month but now that you know how to do them it would be fun to see how if you could squeeze them all in. ok maybe not all of them but most of them.",1686127712.585087,Positive,miscellaneous
5,5,"Been IF for a few years, it's changed my life for the better. Unfortunately, if you don't talk about the quality of the food you're eating, and the macros involved, then a lot of these studies are moot.","been if for a few years, it is changed my life for the better. unfortunately, if you do not talk about the quality of the food you are eating, and the macro involved, then a lot of these study are moot.",1686127712.600256,Neutral,miscellaneous
6,6,Make a 30 days of Islamic life,make a 30 day of islamic life,1686127712.605726,Neutral,miscellaneous
7,7,IF changed my life. I stick to one meal per day. I eat dinner and fast/drink water only until dinner the next day. With calorie counting and OMAD/IF I lost 170 lbs from 350 to 180. It satisfies my desire to eat large volumes and once in a routine it is easy for me to stick to.,if changed my life. i stick to one meal per day. i eat dinner and fast drink water only until dinner the next day. with calorie counting and mad if i lost 170 lb from 350 to 180. it satisfies my desire to eat large volume and once in a routine it is easy for me to stick to.,1686041312.607953,Positive,miscellaneous
8,8,I’ve been doing intermittent fasting for 3 weeks now and I’m doing another 7 weeks I don’t do the time window thing I just eat one meal that ranges from 1000-1400 calories 4-5 hrs before I sleep and I’ve currently lost almost 18lbs.,i ve been doing intermittent fasting for 3 week now and i m doing another 7 week i don t do the time window thing i just eat one meal that range from 10 1400 calorie 4 5 hr before i sleep and i ve currently lost almost 18lbs.,1686041312.61482,Neutral,miscellaneous
9,9,I’ve done fasting now for like 7 years and love it.,i ve done fasting now for like 7 year and love it.,1686041312.620721,Positive,miscellaneous
