,Unnamed: 0,original,pre_processed_text,time_parsed,predictions,sentiments
0,0,And so is hololens😂😂😂,and so is hololens,1686214472.330129,miscellaneous,Neutral
1,1,The material cost is straight up bullshit,the material cost is straight up bullshit,1686214458.332207,miscellaneous,Negative
2,2,Is tobii eye tracking still a thing? Tech is really creepy...,is topic eye tracking still a thing tech is really creepy.,1686214455.334065,miscellaneous,Negative
3,3,"Listen, make lenticular large scale high resolution microled tvs and ill be happy along with everybody else.","listen, make ventricular large scale high resolution mirrored tv and ill be happy along with everybody else.",1686214257.337542,imperative,Positive
4,4,"Wtf is ""nearly in realtime""😂😂😂",wtf is nearly in realtime,1686214137.340393,miscellaneous,Neutral
5,5,Design is done once and then you just roll them of the production line by the 100ds. So i dont think it justifies its ridiculous price😂😂😂 people are never gonna vr and ar outside of gaming and professional its a f ing pad on my face😂😂😂😂,design is done once and then you just roll them of the production line by the 100ds. so i do not think it justifies it ridiculous price people are never going to vr and ar outside of gaming and professional it a f ing pad on my face,1686214137.342958,miscellaneous,Negative
6,6,"Apple is loaded with money, they don't even need to sell it for that price. And we all know they will control everything that's sold within it, so the ""lose on the device, win on the cartridges"" method would apply here. 
The reality is that Apple is a luxury brand and that Apple fanboys will rush to it at that price. 

And it's fine like that, Apple will remain a luxury brand, others will democratize it, it was almost all there already anyway. I'm just sad that the upcoming ones like the next Quest don't even feature eye-tracking at all, while it is key here, and Sony had already proven it was efficient.","apple is loaded with money, they do not even need to sell it for that price. and we all know they will control everything that is sold within it, so the lose on the device, win on the cartridge method would apply here. the reality is that apple is a luxury brand and that apple annoys will rush to it at that price. and it is fine like that, apple will remain a luxury brand, others will democratic it, it wa almost all there already anyway. i am just sad that the upcoming one like the next quest do not even feature eye tracking at all, while it is key here, and sony had already proven it wa efficient.",1686214077.345372,miscellaneous,Neutral
7,7,Everyone talks about the tech but noone talks about nearsightedness,everyone talk about the tech but noone talk about nearsightedness,1686214077.347762,miscellaneous,Negative
8,8,"What problem is it solving? Plus, who is going to spend their day wearing the equivalent of scuba googles around the house? You look like an utter co...","what problem is it solving plus, who is going to spend their day wearing the equivalent of scuba google around the house you look like an utter co.",1686213897.350219,interrogative,Negative
9,9,Why does the screen have 5000 nits? Wouldn't you go blind ? It's like lasers. Normal VR has like 500 and that's plenty,why doe the screen have 50 it would not you go blind it is like lasers. normal vr ha like 500 and that is plenty,1686213837.352657,miscellaneous,Neutral
10,10,Apple is TRUTH 😂😂😂 make that a meme please😂😂😂,apple is truth make that a meme please,1686213837.355145,miscellaneous,Neutral
11,11,Eye Mac😂,eye mac,1686213777.357577,others,Neutral
12,12,I found the list of other company's technical breakthroughs that Apple just acquired with money quite illuminating; Xerox and Finger Works especially. Apple get too much clout for being inventive than they deserve.,i found the list of other company's technical breakthrough that apple just acquired with money quite illuminating zero and finger work especially. apple get too much clout for being inventive than they deserve.,1686213657.359985,miscellaneous,Neutral
13,13,I love how it looks,i love how it look,1686213537.362396,miscellaneous,Positive
14,14,"nothing can replace smartphones, it maybe its own thing but def not gonna replace iphones.","nothing can replace smartphones, it maybe it own thing but def not going to replace phones.",1686213477.364809,miscellaneous,Neutral
15,15,If that was the case and this is the next thing why does Fb quest 2 prove to be such a flop... i don't buy it. I have quest 2 and when i think putting on my head it's a big deterrent. Motion sickness is big and eye strain is quite bad. And siri is the worst assistant out there i mean it's a joke to say using siri. It can't even turn on my lights properly.,if that wa the case and this is the next thing why doe fb quest 2 prove to be such a flop. i do not buy it. i have quest 2 and when i think putting on my head it is a big deterrent. motion sickness is big and eye strain is quite bad. and sir is the worst assistant out there i mean it is a joke to say using sir. it cannot even turn on my light properly.,1686213237.367221,miscellaneous,Negative
16,16,"Vision Pro is not about the cost of the device or about Apple creating it, it's the start of a new way we interact with computers.
And because of the high-definition screens, the p*orn industry is going to push this technology whether we like it or not.","vision pro is not about the cost of the device or about apple creating it, it is the start of a new way we interact with computers. and because of the high definition screens, the p*on industry is going to push this technology whether we like it or not.",1686213177.369656,miscellaneous,Positive
17,17,are they making SAO (Sword Art Online) a reality now?,are they making sao (sword art online) a reality now,1686213177.372062,miscellaneous,Neutral
18,18,It's flop product like Google glasses,it is flop product like google glass,1686213057.374491,miscellaneous,Negative
19,19,This is heaven for maketing people. For now they can track only the clicks or mouse position on a computer or fingers on smartphones and tablets. Now you will track the eyes.,this is heaven for marketing people. for now they can track only the click or mouse position on a computer or finger on smartphones and tablets. now you will track the eyes.,1686212997.376912,miscellaneous,Neutral
20,20,"Impressive, very impressive indeed, but then it is already overpriced, could have been 1.5K-2K at launch, but then now Apple will charge hundreds for their custom lenses extra and they know that most people above 40 years require glasses, so why not overcharge their as well. I am just waiting when Apple will come out with some med-tech where they will cooperate with pharma industry, and then it is intertwined with insurance industry ... game on. #Privacy #Security","impressive, very impressive indeed, but then it is already overpriced, could have been 1.5k 2k at launch, but then now apple will charge hundred for their custom lens extra and they know that most people above 40 year require glasses, so why not overcharge their a well. i am just waiting when apple will come out with some med tech where they will cooperate with pharma industry, and then it is intertwined with insurance industry . game on. privacy security",1686212877.654106,miscellaneous,Positive
21,21,"iPhone - 2007 Global Financial Crisis
Vision Pro - 2023 Global Recession?",iphone 2007 global financial crisis vision pro 2023 global recession,1686212757.657011,others,Neutral
22,22,It is not. It may be a new iPad at best.,it is not. it may be a new ipad at best.,1686212637.659424,miscellaneous,Neutral
23,23,This might be the first apple product that I will buy,this might be the first apple product that i will buy,1686212577.661813,miscellaneous,Positive
24,24,I'm not wearing that. It's gonna mess up my hair.,i am not wearing that. it is going to mess up my hair.,1686212517.664176,miscellaneous,Negative
25,25,"Yea, no thanks. The smart phone 📱 & social media isolation is already too prevalent. Now we get zombies 🧟‍♂️ with goggles 🥽?","yea, no thanks. the smart phone & social medium isolation is already too prevalent. now we get zombie with goggles",1686212517.6666,miscellaneous,Negative
26,26,I can see military uses for this device. The same way the F-35 helmet works.,i can see military us for this device. the same way the f 35 helmet works.,1686212457.668986,miscellaneous,Neutral
27,27,ppl who are complaining for the price i think they shud also think that this product can replace your SMARTPHONE TAB and LAPTOP in future,people who are complaining for the price i think they shut also think that this product can replace your smartphone tab and laptop in future,1686212457.671325,miscellaneous,Neutral
28,28,"this might be your first big MISS.
you had a good run of hits but this level of sensationalism is silly",this might be your first big miss. you had a good run of hit but this level of sensationalism is silly,1686212457.673685,miscellaneous,Negative
29,29,"Neurallink - “ Hold my beer🍺!”
No phone. No screen. No keyboard. No mouse. Just a simple brain 🧠 implant and done.",neurallink hold my beer ! no phone. no screen. no keyboard. no mouse. just a simple brain implant and done.,1686212457.676054,miscellaneous,Neutral
30,30,"And here I am, using eink tablets to avoid artificial blue light 😅 this device is awesome, but I am worried about the effects on our body and mind","and here i am, using link tablet to avoid artificial blue light this device is awesome, but i am worried about the effect on our body and mind",1686212397.678428,miscellaneous,Neutral
