love sir!,positive
please make video on.midpoint circle drawing bresenham's circle drawing.,imperative
bought course dmy. are talented teacher. keep producing quality material. is java course coming along? . am looking forward it.,interrogative
"thank much, really got first video algorithm without explanation lol",positive
i hope you are ok with everything going on against muslim in index 3,miscellaneous
another great explanation abdul sir. thank much.,positive
do have take note see video which are helpful,interrogative
"idea going first one, one cleared everything up!",positive
"one suggestion: possible can provide link github link implementation video well ? have tried watch video implement java every time mess want cross check implementation, is reference code. would help lot can post link implementation algorithm :) thank",interrogative
thanks soo soo much sir,positive
"are absolute genius. extremely helpful understanding content. much better professor university. thank much. way, can probably publish video dp how create dp formula? am problem different kind dp problem formula creating. would publish video np np complete? watched video did np np complete problem did talk how prove problem is np complete detail how use reduction prove it?",interrogative
great job!,positive
thank sir !,positive
thank much,positive
sir really great job .god may richly bless family .much love,positive
love wearing red video updated brilliant,positive
wonderful explanation (straight heaven),positive
"www first video got confusion,but video got it. 10q much.",positive
thank sir,positive
sir please upload approximation algorithm video also! bdulbari,imperative
asslamualikum dear honorable sir can know,interrogative
"main api mini prashansa kar, kam hai.",positive
love man!,positive
swear savior every single c student. god bless you!.,positive
sir thank much bottom heart work helped alot,positive
thank you. . respect core heart.,positive
thanks lot abdul bari sir. best 3,positive
"sir much genuine made video topic , convinced previous one.he thought u might problem. watt man. thank sir.",positive
thankyou sir,positive
tremendous teaching skill abdul! thank much 3,positive
sir can please explain online algorithms. 1. online euclidean spanning tree problem solved greedy method 2. online k server problem greedy algorithm solve problem defined planar tree,interrogative
one best dynamic programming video there.,positive
"please please someone explain find optimal parenthesization matrix chain product whose sequence dimension is 5, 10, 3, 12, 5, 50, 6 .",interrogative
asalamughlikom sir. sir tutorial python programming pakistani teacher follow it. student computer science 5th semester.,positive
never ever ever ever heard interesting extremely informative lecture 5 year student cs.,positive
good,positive
amazing explanation sir.hats off! thank work!,positive
matrix multiplication : matrix chain multiplication : 43 example problem : 337 time complexity : 500 hope it will help!,miscellaneous
sir god. waiting next video. pl make soon sir,imperative
example on,miscellaneous
sir please delete first one.it quite helpful saving time.,imperative
best algorithm teacher youtube,positive
love explanation sir,positive
may go bathroom . please,interrogative
lacrosse !,miscellaneous
that will be 66 not 86,corrective
nice explanation sir.after watching got interested enroll source dmy.,positive
king sir,positive
"what value k table (1,4) is 2 2 put parentid (a1. a2)*( a3. a4) wa final answer?",interrogative
sir. kindly delete 4.3 video. creating bit confusion. awesome. first shown actual matrix multiplication done derived formula gave u clear understanding. class spend nearly 2 hour derive failed understand gave clear understanding. feel worth watching videos. thank much.,positive
side ho jay kiji sir for screenshot,miscellaneous
nan,
"ye sir hindi bold baht raga kyu anne desk baht poor people hai jo class effort nazi kr page hai so,i request sir please speak hindi",imperative
smile end,positive
please consider making previous video private enlist it. abdul bari,imperative
best teacher one could ask for! loved video,positive
operating system computer network computer organization plz create video,imperative
"at time sir, the sum for k 1 is 66 not 86 sir",corrective
wanted add praise video. excellent teaching abdul!,positive
thank much,positive
really fantastic. thank alot.,positive
best daa teacher ever. subscribe right,positive
thank sir.,positive
hey.,miscellaneous
thank you! sir,positive
tutorial amazing! thanks,positive
king algorithm complement silent fan sir abdul bari pakistan :),positive
saved exam,positive
mind blowing sir.,positive
thank sir.you saved me.,positive
"mr. bari, see would like thank best teacher platform. recently purchased dmy course would like express gratitude video comprehensive unique teaching style. dedicated teacher go data structure algorithmic content. thank :)",positive
sir will please make detail video expression tree how can write program c.,interrogative
king back .,positive
thank uploading new video topic .it explained everything much clearly,positive
nice explanation sir,positive
great method explain every topic,positive
hello sir plz make video red black tree,imperative
excellent video,positive
"sir used best teacher, iz much loved nowadays cir see board fat. please slim sir learn everyday board exam well done sir, many thank you.",positive
"thank abdul bari, video lesson well structured approachable. would recommend video student near future. thank again.",positive
thanks lot sir . give u best stuff particular subject also getting ready 100% clear topic.thank much,positive
sir java video incomplete please upload video java dmy can buy .,imperative
there is no requirement of subtitle it working a a obstacle in watching the lower content of white board.,miscellaneous
"thank sir providing content free please upload more.we need sir, amazing ,huge respect sir.",positive
sir say one teach topic better way taught. teaching skill peak sir. thanks,positive
can use greedy algorithm this?,interrogative
"thanks lot sir,",positive
bangladesh.you one best teacher algorithm learning .so carry on.,positive
"sir thought, one watch whole video edited it. sir, awesome watch video till end.",positive
abdul bari wanted ask doubts. kindly provide platform can discus doubts. please sir,imperative
greatest data structure algorithm teacher ever seen ! amazing explanation.thank sir.,positive
best video matrix chain multiplication,positive
solid explanation solid person. thanks lot sir.,positive
sir python pe video manage sir explain every thing well,positive
sir which course are coming dmy ? please,interrogative
"hi sir. is sri leak chennai. have doubt regarding dp problem. ques: https: practice.geeksforgeeks.org problem find optimum operation 0sir, dp solution is easy. do know how works. could please explain logic. sir, am looking explanation. thanks advance.",interrogative
great explanation easy method teaching,positive
great. teaching technique amazing. thanks lot. make video another topic subject gt syllabus.,imperative
"getting teacher,is matter fortune every student",positive
awesome :). thanks video.,positive
sir please can upload video machine learning .we subject semester much data available anywhere possible please try.,imperative
nice explanation .:),positive
thankyou much sir investing another hour topic thankyou.so much,positive
one day before examination talking about me,miscellaneous
best teacher,positive
sir buy course *mastering data structure & algorithm using c c+.* is available life time specific time duration?* am interested buy course which available dmy*,interrogative
smooth butter !,positive
.,miscellaneous
lengthy one worth it.,positive
amazing teacher.,positive
"sir purchased course c+, sir please make detailed course java python lecture c+ great.",positive
nan,
best video ever.,positive
will going release java course sir.,interrogative
"sir ,i bought are c+ course yesterday ,may know how many day can access unlimited ?",interrogative
sir are?,interrogative
"more clearer this time sir, thank you! 36 + 3 * 2 * 5 must be 66 not 86 though",corrective
here is the implementation in java. https: gist.github.com ritamchakraborty da1b8ab58ee0109116dfc2ac7e9c1a27,miscellaneous
"sir, please add section like dynamic programming important topic data structure dmy course.",imperative
"amazing sir, thank much making free video .",positive
