,original,pre_processed_text,time_parsed,sentiments,predictions
0,"Just eat balanced meals, track the amount of calories that you intake and move your lazy ass more. It's not rocket science because your body doesn't really care about all of these fancy trends.","just eat balanced meals, track the amount of calorie that you intake and move your lazy as more. it is not rocket science because your body doe not really care about all of these fancy trends.",1686212552.56979,{'NEUTRAL': 0.6046074628829956},miscellaneous
1,"It's really important to understand that when you do intermittent fasting, you need to eat a bit differently than usual. If you eat a simple meal, like what you eat on a normal day when you eat 3-4 times a day, then of course you will feel a bit tired. When you do intermittent fasting your meals should be a slightly bigger and it's nice to have a break after 5 days. I usually do intermittent fasting on weeksdays (2 meals in an 6 hour window at max) and eat ""normally"" on the weekends (I eat what and when I want, yes...taco, pizza, icecream, everything I want, no restrictions on that 2 days).

Intermittend fasting was a game changer for me. My weight is absolutely rock solid when I follow this plan. I'm not getting weigh even with my home office lifestyle.","it is really important to understand that when you do intermittent fasting, you need to eat a bit differently than usual. if you eat a simple meal, like what you eat on a normal day when you eat 3 4 time a day, then of course you will feel a bit tired. when you do intermittent fasting your meal should be a slightly bigger and it is nice to have a break after 5 days. i usually do intermittent fasting on weekday (2 meal in an 6 hour window at max) and eat normally on the weekend (i eat what and when i want, yes.tico, pizza, icecream, everything i want, no restriction on that 2 days). intermittent fasting wa a game changer for me. my weight is absolutely rock solid when i follow this plan. i am not getting weigh even with my home office lifestyle.",1686149312.578076,{'POSITIVE': 0.761978805065155},miscellaneous
2,"Have been experimenting w/ IF for two months, and have lost 27 lbs. Have about 33 lbs to go. 

Currently, I exercise 5 days/wk (3 gym days, 2 very light walking days, and 2 days off during fasting. 

I fast once/wk from Wed night to Fri afternoon (42 hrs). I’m roughly losing 1.5 lbs/wk now, and building muscle in the process; so… I’m gaining muscle and losing fat, which is my goal. When i hit my target weight, i’ll likely have to change things up with the diet. 

The fasting naturally increases testosterone, growth hormone and reduces inflammation. 

I have a 42g recovery drink 5 days/wk after workouts, a keto lunch, then i “cheat” at dinner and eat more of what i want, tracking carbs to keep these low overall (50-75 g daily carbs).

Cut out sugars, keep carbs low, no processed food, no alcohol, no vegetable oil (just avocado and coconut oils), eat a higher fat / low carb diet, exercise and watch things improve!

IMO many folks are addicted to sugar, and will not admit this. I still have 9 g of sugar/day with my recovery drink 5 days/wk, yet have drawn the line with this amount of sugar. I just like how much protein i can get from the drink. 

Hope this helps someone!","have been experimenting w if for two months, and have lost 27 lbs. have about 33 lb to go. currently, i exercise 5 day wk (3 gym days, 2 very light walking days, and 2 day off during fasting. i fast once wk from wed night to fri afternoon (42 hrs). i m roughly losing 1.5 lb wk now, and building muscle in the process so i m gaining muscle and losing fat, which is my goal. when i hit my target weight, i ll likely have to change thing up with the diet. the fasting naturally increase testosterone, growth hormone and reduces inflammation. i have a 42g recovery drink 5 day wk after workout, a veto lunch, then i cheat at dinner and eat more of what i want, tracking car to keep these low overall (50 75 g daily cars). cut out sugars, keep car low, no processed food, no alcohol, no vegetable oil (just avocado and coconut oils), eat a higher fat low car diet, exercise and watch thing improve! i am going to many folk are addicted to sugar, and will not admit this. i still have 9 g of sugar day with my recovery drink 5 day wk, yet have drawn the line with this amount of sugar. i just like how much protein i can get from the drink. hope this help someone!",1686145712.580602,{'POSITIVE': 0.5264984965324402},miscellaneous
3,Great video! Learned a lot more about IF than I thought I would,great video! learned a lot more about if than i thought i would,1686131312.58288,{'POSITIVE': 0.9564573168754578},others
4,"Can you take a month where you do all the habits for 30 days? I have seen you do fasting, yoga, and all the other habits - one habit per month - but now that you know how to do them it would be fun to see how/if you could squeeze them all in. Ok maybe not all of them but most of them.","can you take a month where you do all the habit for 30 day i have seen you do fasting, yoga, and all the other habit one habit per month but now that you know how to do them it would be fun to see how if you could squeeze them all in. ok maybe not all of them but most of them.",1686127712.585087,{'POSITIVE': 0.5293155908584595},miscellaneous
5,"Been IF for a few years, it's changed my life for the better. Unfortunately, if you don't talk about the quality of the food you're eating, and the macros involved, then a lot of these studies are moot.","been if for a few years, it is changed my life for the better. unfortunately, if you do not talk about the quality of the food you are eating, and the macro involved, then a lot of these study are moot.",1686127712.600256,{'NEUTRAL': 0.4709368646144867},miscellaneous
6,Make a 30 days of Islamic life,make a 30 day of islamic life,1686127712.605726,{'NEUTRAL': 0.4891965389251709},miscellaneous
7,IF changed my life. I stick to one meal per day. I eat dinner and fast/drink water only until dinner the next day. With calorie counting and OMAD/IF I lost 170 lbs from 350 to 180. It satisfies my desire to eat large volumes and once in a routine it is easy for me to stick to.,if changed my life. i stick to one meal per day. i eat dinner and fast drink water only until dinner the next day. with calorie counting and mad if i lost 170 lb from 350 to 180. it satisfies my desire to eat large volume and once in a routine it is easy for me to stick to.,1686041312.607953,{'POSITIVE': 0.7971368432044983},miscellaneous
8,I’ve been doing intermittent fasting for 3 weeks now and I’m doing another 7 weeks I don’t do the time window thing I just eat one meal that ranges from 1000-1400 calories 4-5 hrs before I sleep and I’ve currently lost almost 18lbs.,i ve been doing intermittent fasting for 3 week now and i m doing another 7 week i don t do the time window thing i just eat one meal that range from 10 1400 calorie 4 5 hr before i sleep and i ve currently lost almost 18lbs.,1686041312.61482,{'NEUTRAL': 0.6379185318946838},miscellaneous
9,I’ve done fasting now for like 7 years and love it.,i ve done fasting now for like 7 year and love it.,1686041312.620721,{'POSITIVE': 0.9287430644035339},miscellaneous
10,By energy level problems take some electrolytes and salt,by energy level problem take some electrolyte and salt,1686041312.626563,{'NEUTRAL': 0.7019753456115723},miscellaneous
11,I've been doing one single KETO meal a day for 2 years straight now. Haven't cheated once. Best shape and feeling of my life 💪,i have been doing one single veto meal a day for 2 year straight now. have not cheated once. best shape and feeling of my life,1686041312.629872,{'POSITIVE': 0.9640392661094666},miscellaneous
12,Thank you for recommending the Zero app - that's what I was looking for. I really have high hopes for it.,thank you for recommending the zero app that is what i wa looking for. i really have high hope for it.,1685954912.635586,{'POSITIVE': 0.981238842010498},miscellaneous
13,i lol-ed at 5:55,i lol ed at,1685954912.638815,{'NEUTRAL': 0.6137611865997314},miscellaneous
14,"Im in school i got no muscle or weight to lose. But then i am forced to fast. I have class buy 7am and i wake up by 530am. I just take a cup of coff, hot chocolate or tea with crackers or bread in the morning","i am in school i got no muscle or weight to lose. but then i am forced to fast. i have class buy 7am and i wake up by 530am. i just take a cup of off, hot chocolate or tea with cracker or bread in the morning",1685954912.642934,{'NEUTRAL': 0.5002553462982178},miscellaneous
15,"love binge watching this guy, hes informative and really funny😆","love binge watching this guy, he informative and really funny",1685954912.648335,{'POSITIVE': 0.9861408472061157},others
16,I’ll add that I also make a very cautious effort to reach my daily macros,i ll add that i also make a very cautious effort to reach my daily macro,1686041312.80851,{'NEUTRAL': 0.8317699432373047},miscellaneous
17,"Great video!
I wrote an article on intermittent fasting on my website for Fitness. 

As you summarize in the end of your video, one of the greatest parts, about intermittent fasting is the simple, behavioral change of cutting out late night eating. Everybody fasts at night. Choosing to “fast” simply increases the fasting window. When someone does stick to an eating window, this usually cuts a large amount of snacking calories that people tend to eat. That, alone can create a caloric deficit and cause weight loss.

Circadian fast seems to make sense for most people on a fat loss diet. I don’t think for somebody who is starting out it would be wise to start with a short eating window. Just because it would be tough to sustain and pushing through with discipline is just a recipe for a hard rebound when the diet ends. 

For anyone, considering doing this for weight loss, I would consider starting with cutting out any late night eating, and feel free to eat a high-protein meal in the morning as you get hungry. Track your food intake and make sure you are eating high protein and healthy! Don’t forget to train hard as well and build some muscle!!","great video! i wrote an article on intermittent fasting on my website for fitness. a you summarize in the end of your video, one of the greatest parts, about intermittent fasting is the simple, behavioral change of cutting out late night eating. everybody fact at night. choosing to fast simply increase the fasting window. when someone doe stick to an eating window, this usually cut a large amount of stacking calorie that people tend to eat. that, alone can create a calorie deficit and because weight loss. circadian fast seems to make sense for most people on a fat loss diet. i don t think for somebody who is starting out it would be wise to start with a short eating window. just because it would be tough to sustain and pushing through with discipline is just a recipe for a hard rebound when the diet ends. for anyone, considering doing this for weight loss, i would consider starting with cutting out any late night eating, and feel free to eat a high protein meal in the morning a you get hungry. track your food intake and make sure you are eating high protein and healthy! don t forget to train hard a well and build some muscle!",1685954913.186859,{'POSITIVE': 0.5006985664367676},miscellaneous
18,"Two issues I see on your approach. Why did you fast for 18h when recommendation is 12-16h. Second, there are studies that show that when you drink coffee right away after waking up could cause a drop in energy level in the afternoon. So, fix those things and try again.","two issue i see on your approach. why did you fast for 18h when recommendation is 12 16h. second, there are study that show that when you drink coffee right away after waking up could cause a drop in energy level in the afternoon. so, fix those thing and try again.",1685954913.189158,{'NEGATIVE': 0.6360419392585754},miscellaneous
19,"I swear by IF. It helped me so much. 18 hours is nothing. And I don’t restrict calories either, still lost the weight and now with IF I can maintain without any problems.","i swear by if. it helped me so much. 18 hour is nothing. and i don t restrict calorie either, still lost the weight and now with if i can maintain without any problems.",1685868513.198375,{'POSITIVE': 0.890507161617279},miscellaneous
20,me: fasting for 18hrs   *eats 12 burgers in 4 hours*,me: fasting for 18hrs *eats 12 burger in 4 hours*,1685868513.203284,{'NEUTRAL': 0.8248035907745361},miscellaneous
21,bros handsome,bros handsome,1685868513.205413,{'POSITIVE': 0.7813792824745178},others
22,"Love your videos as usual! The idea of also incorporating intermittent fasting into your life as a muslim (not just ramadan) is also advisable. Fasting every Monday and Thursday as well as the 13, 14, and 15th of every month, etc. I'm not entirely sure if you can link this to having any specific health benefits, but it is a spiritual practice.","love your video a usual! the idea of also incorporating intermittent fasting into your life a a muslim (not just armada) is also advisable. fasting every monday and thursday a well a the 13, 14, and 15th of every month, etc. i am not entirely sure if you can link this to having any specific health benefits, but it is a spiritual practice.",1685868513.214541,{'POSITIVE': 0.7477662563323975},miscellaneous
23,i am from turkey and i have been doing intermittent fasting for 3 days only two meals are already feeling very good,i am from turkey and i have been doing intermittent fasting for 3 day only two meal are already feeling very good,1685868513.216505,{'POSITIVE': 0.9707306623458862},miscellaneous
24,Ama biz gece yiyoruz yemek,ama biz gene yiyoruz yemen,1685868513.21854,{'NEUTRAL': 0.7063677310943604},miscellaneous
25,"what are the banana
 condom things? 😂",what are the banana condom thing,1685868513.220596,{'NEUTRAL': 0.7987310886383057},interrogative
26,Dang Matt is rocking the MacBook pro with the glowing apple LOGO... love it,dang matt is rocking the facebook pro with the glowing apple logo. love it,1685868513.228322,{'POSITIVE': 0.9898057579994202},others
27,I'm gonna try this let's see what happens,i am going to try this let u see what happens,1685868513.230453,{'NEUTRAL': 0.809286892414093},miscellaneous
28,"Claim your ""here within ten days"" ticket right here.
👇",claim your here within ten day ticket right here.,1685868513.232404,{'NEUTRAL': 0.8350623250007629},miscellaneous
29,I would be curious to see you try 75 Hard,i would be curious to see you try 75 hard,1685868513.243429,{'NEUTRAL': 0.604033887386322},miscellaneous
30,Would love to see you doing a 30 day eating The Recommended Amount Of Fruit and Vegetables,would love to see you doing a 30 day eating the recommended amount of fruit and vegetable,1685868513.24544,{'POSITIVE': 0.8440256714820862},miscellaneous
31,You have to eat healthy fats with each meal to train the body to burn fat fuel instead of sugars from the food.,you have to eat healthy fat with each meal to train the body to burn fat fuel instead of sugar from the food.,1685868513.247476,{'NEUTRAL': 0.7943016886711121},miscellaneous
32,А по русски 0:08 0:09,09,1685868513.256495,{'NEUTRAL': 0.5929663181304932},miscellaneous
33,"ive lost around 15kg or 33 pounds from fasting over the span of 2 years. At first i didn't workout or exercise so the fasting only was as effective as limiting my calories, but when i started to exercise a 1 year back thats when i started to see results. Intermittent fasting has genuinely changed my life and my 2 year anniversary is coming up soon. Its important to have a healthy lifestyle and always balance everything from your diet to exercise but don't be too harsh on yourself.","i have lost around 15kg or 33 pound from fasting over the span of 2 years. at first i did not workout or exercise so the fasting only wa a effective a limiting my calories, but when i started to exercise a 1 year back that is when i started to see results. intermittent fasting ha genuinely changed my life and my 2 year anniversary is coming up soon. it important to have a healthy lifestyle and always balance everything from your diet to exercise but do not be too harsh on yourself.",1685782113.258444,{'POSITIVE': 0.5741971731185913},miscellaneous
34,DO WATER FASTING!!!!!!!!,do water fasting!,1685782113.260517,{'NEUTRAL': 0.7166779637336731},interrogative
35,Matt you need to try 30 days of being Vegan 😊,matt you need to try 30 day of being vegan,1685782113.262429,{'NEUTRAL': 0.757103443145752},miscellaneous
36,What app were you using?  Thanks,what app were you using thanks,1685782113.612834,{'NEUTRAL': 0.8852834701538086},interrogative
37,Dikit lagi login 😄,digit lagi login,1685782113.614782,{'NEUTRAL': 0.69896000623703},miscellaneous
